"bg","Ede1","dataset","x","n","p","p_min","p_max"
"wt","FL","1"," 0","37","0.0000"," 0.00e+00","0.0941"
"wt","FL","2"," 2","55","0.0364"," 1.00e-02","0.1232"
"wt","FL","3"," 1","52","0.0192"," 9.86e-04","0.1012"
"wt","1-900","1"," 0","68","0.0000"," 3.28e-18","0.0535"
"wt","1-900","2"," 0","63","0.0000"," 0.00e+00","0.0575"
"wt","1-900","3"," 5","65","0.0769"," 3.33e-02","0.1678"
"wt","1-590","1"," 0","65","0.0000"," 0.00e+00","0.0558"
"wt","1-590","2"," 0","53","0.0000"," 0.00e+00","0.0676"
"wt","1-590","3"," 0","66","0.0000"," 3.28e-18","0.0550"
"wt","366-1381","1","16","60","0.2667"," 1.71e-01","0.3901"
"wt","366-1381","2","10","50","0.2000"," 1.12e-01","0.3304"
"wt","366-1381","3"," 9","55","0.1636"," 8.86e-02","0.2826"
"wt","591-1381","1"," 0","59","0.0000"," 0.00e+00","0.0611"
"wt","591-1381","2"," 0","52","0.0000"," 0.00e+00","0.0688"
"wt","591-1381","3"," 0","57","0.0000"," 0.00e+00","0.0631"
"wt","366-900","1","35","78","0.4487"," 3.43e-01","0.5589"
"wt","366-900","2","15","64","0.2344"," 1.47e-01","0.3513"
"wt","366-900","3","28","53","0.5283"," 3.97e-01","0.6562"
"wt","591-900","1"," 0","62","0.0000","-3.27e-18","0.0583"
"wt","591-900","2"," 0","53","0.0000"," 0.00e+00","0.0676"
"wt","591-900","3"," 0","54","0.0000"," 0.00e+00","0.0664"
"3×ΔEA","FL","1","42","42","1.0000"," 9.16e-01","1.0000"
"3×ΔEA","FL","2","33","38","0.8684"," 7.27e-01","0.9425"
"3×ΔEA","FL","3","46","49","0.9388"," 8.35e-01","0.9790"
"3×ΔEA","1-900","1","35","71","0.4930"," 3.80e-01","0.6066"
"3×ΔEA","1-900","2","33","51","0.6471"," 5.10e-01","0.7637"
"3×ΔEA","1-900","3","35","51","0.6863"," 5.50e-01","0.7967"
"3×ΔEA","1-590","1"," 0","65","0.0000"," 0.00e+00","0.0558"
"3×ΔEA","1-590","2"," 1","50","0.0200"," 1.03e-03","0.1050"
"3×ΔEA","1-590","3"," 0","50","0.0000"," 0.00e+00","0.0713"
"3×ΔEA","366-1381","1","42","61","0.6885"," 5.64e-01","0.7906"
"3×ΔEA","366-1381","2","33","55","0.6000"," 4.68e-01","0.7188"
"3×ΔEA","366-1381","3","29","52","0.5577"," 4.23e-01","0.6840"
"3×ΔEA","591-1381","1"," 1","62","0.0161"," 8.27e-04","0.0859"
"3×ΔEA","591-1381","2"," 0","43","0.0000"," 0.00e+00","0.0820"
"3×ΔEA","591-1381","3"," 0","47","0.0000"," 0.00e+00","0.0756"
"3×ΔEA","366-900","1","45","50","0.9000"," 7.86e-01","0.9565"
"3×ΔEA","366-900","2","35","42","0.8333"," 6.94e-01","0.9168"
"3×ΔEA","366-900","3","35","46","0.7609"," 6.21e-01","0.8609"
"3×ΔEA","591-900","1"," 1","57","0.0175"," 9.00e-04","0.0929"
"3×ΔEA","591-900","2"," 0","40","0.0000"," 0.00e+00","0.0876"
"3×ΔEA","591-900","3"," 0","42","0.0000"," 0.00e+00","0.0838"
